2015-01-01 - 2019-12-08

long,short : percent%

136,86 : 25.73%
136,87 : 25.73%
137,85 : 25.73%
137,86 : 25.73%
137,87 : 25.73%
138,85 : 25.73%
138,86 : 25.73%
139,84 : 25.73%
139,85 : 25.73%
140,84 : 25.73%
140,85 : 25.73%
141,83 : 25.73%
141,84 : 25.73%
142,83 : 25.73%
142,84 : 25.73%
143,82 : 25.73%
143,83 : 25.73%
144,82 : 25.73%
144,83 : 25.73%
145,82 : 25.73%
146,81 : 25.73%
146,82 : 25.73%
147,81 : 25.73%
147,82 : 25.73%
148,81 : 25.73%
149,81 : 25.73%
150,80 : 25.73%
150,81 : 25.73%
151,80 : 25.73%
151,81 : 25.73%
152,80 : 25.73%
118,102 : 25.49%
138,87 : 25.49%
139,86 : 25.49%
140,86 : 25.49%
141,85 : 25.49%
141,86 : 25.49%
142,85 : 25.49%
143,84 : 25.49%
144,84 : 25.49%
145,83 : 25.49%
146,83 : 25.49%
148,82 : 25.49%
117,103 : 25.44%
118,103 : 25.44%
118,101 : 24.66%
132,88 : 24.66%
133,87 : 24.66%
133,88 : 24.66%
134,86 : 24.66%
134,87 : 24.66%
135,85 : 24.66%
135,86 : 24.66%
135,87 : 24.66%
136,85 : 24.66%
142,82 : 24.66%
144,81 : 24.66%
145,81 : 24.66%
147,80 : 24.66%
148,80 : 24.66%
149,80 : 24.66%
150,79 : 24.66%
151,79 : 24.66%
152,79 : 24.66%
119,97 : 24.61%
119,98 : 24.61%
120,97 : 24.61%
120,98 : 24.61%
121,96 : 24.61%
121,97 : 24.61%
122,96 : 24.61%
123,94 : 24.61%
123,95 : 24.61%
124,92 : 24.61%
125,92 : 24.61%
125,93 : 24.61%
127,87 : 24.61%
118,100 : 24.54%
125,91 : 24.54%
126,90 : 24.54%
126,91 : 24.54%
127,89 : 24.54%
127,90 : 24.54%
128,89 : 24.54%
128,90 : 24.54%
129,89 : 24.54%
130,88 : 24.54%
131,87 : 24.54%
131,88 : 24.54%
132,86 : 24.54%
132,87 : 24.54%
133,86 : 24.54%
134,85 : 24.54%
120,95 : 24.52%
120,96 : 24.52%
121,94 : 24.52%
121,95 : 24.52%
122,93 : 24.52%
122,94 : 24.52%
122,95 : 24.52%
hold : 68.93%
